uid	sample	species	rank	ecotype	collection
GCA_003283545.1	AG-316-L16	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003283525.1	AG-316-L21	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003284005.1	AG-316-M09	Uncultured-bacterium	NA	NA	Berube
GCA_003283965.1	AG-316-N21	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003283955.1	AG-316-N23	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003283485.1	AG-316-P04	Bacteroidetes	NA	NA	Berube
GCA_003283945.1	AG-316-P23	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003283905.1	AG-319-F18	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003283915.1	AG-319-I22	SAR324	c__SAR324	NA	Berube
GCA_003283845.1	AG-319-J22	SAR324	c__SAR324	NA	Berube
GCA_003283875.1	AG-321-A13	SAR116	NA	NA	Berube
GCA_003283475.1	AG-321-B08	Prochlorococcus	c__Cyanobacteriia	NA	Berube
GCA_003283465.1	AG-321-B15	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003283445.1	AG-321-D23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003283415.1	AG-321-E21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003283395.1	AG-321-F02	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003283385.1	AG-321-G20	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003283365.1	AG-321-G21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003283345.1	AG-321-I09	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003283315.1	AG-321-K06	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003283305.1	AG-321-K11	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003284565.1	AG-321-K23	SAR116	NA	NA	Berube
GCA_003283285.1	AG-321-L23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003283235.1	AG-321-M21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003283225.1	AG-321-P21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003283215.1	AG-323-A01	Synechococcus	c__Cyanobacteriia	NA	Berube
GCA_003283205.1	AG-323-A11	Synechococcus	c__Cyanobacteriia	NA	Berube
GCA_003283185.1	AG-323-C04	Uncultured-marine-archaeum	NA	NA	Berube
GCA_003283165.1	AG-323-F11	Synechococcus	c__Cyanobacteriia	NA	Berube
GCA_003283135.1	AG-323-G20	Synechococcus	c__Cyanobacteriia	NA	Berube
GCA_003283125.1	AG-323-L13	Uncultured-bacterium	NA	NA	Berube
GCA_003283105.1	AG-323-L21	Uncultured-bacterium	NA	NA	Berube
GCA_003283075.1	AG-323-O19	Uncultured-bacterium	NA	NA	Berube
GCA_003283055.1	AG-323-O22	Synechococcus	c__Cyanobacteriia	NA	Berube
GCA_003283045.1	AG-325-C02	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003283025.1	AG-325-C03	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003282975.1	AG-325-C10	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003282985.1	AG-325-E08	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003282965.1	AG-325-E13	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003282945.1	AG-325-E23	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003282905.1	AG-325-F13	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003282895.1	AG-325-F15	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003282885.1	AG-325-F22	SAR116	NA	NA	Berube
GCA_003282865.1	AG-325-I21	SAR116	NA	NA	Berube
GCA_003282835.1	AG-325-J13	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003282825.1	AG-325-J17	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003282805.1	AG-325-K06	SAR116	NA	NA	Berube
GCA_003282785.1	AG-331-A01	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003282755.1	AG-331-A02	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282745.1	AG-331-B22	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003282725.1	AG-331-B23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282695.1	AG-331-C07	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003282675.1	AG-331-C09	Uncultured-marine-microorganism	NA	NA	Berube
GCA_003282665.1	AG-331-D10	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003282645.1	AG-331-D11	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282595.1	AG-331-E10	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282615.1	AG-331-F21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282585.1	AG-331-J19	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282565.1	AG-331-J21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282535.1	AG-331-K04	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003282505.1	AG-331-K15	Uncultured-marine-microorganism	NA	NA	Berube
GCA_003282515.1	AG-331-M18	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003282485.1	AG-333-C14	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003282445.1	AG-333-G23	OCS155	NA	NA	Berube
GCA_003282425.1	AG-335-A05	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282435.1	AG-335-B03	SAR116	NA	NA	Berube
GCA_003282385.1	AG-335-B08	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282405.1	AG-335-C21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282325.1	AG-335-D02	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282305.1	AG-335-D04	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282345.1	AG-335-E22	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282355.1	AG-335-F06	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282285.1	AG-335-I15	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282225.1	AG-335-I21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279415.1	AG-335-J02	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279405.1	AG-335-J19	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279365.1	AG-335-L06	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279355.1	AG-335-N04	SAR116	NA	NA	Berube
GCA_003279335.1	AG-335-N20	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282265.1	AG-335-O19	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282235.1	AG-335-P02	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003282205.1	AG-337-G04	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003282175.1	AG-337-G06	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003282155.1	AG-337-I02	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003282145.1	AG-337-N21	SAR116	NA	NA	Berube
GCA_003282115.1	AG-339-F18	Uncultured-marine-archaeum	NA	NA	Berube
GCA_003282105.1	AG-339-G14	SAR86	c__Gammaproteobacteria	NA	Berube
GCA_003282085.1	AG-339-L04	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003282055.1	AG-339-N18	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003282045.1	AG-341-A02	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003279325.1	AG-341-B22	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003282025.1	AG-341-E15	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003282005.1	AG-341-I22	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003281945.1	AG-341-J21	Uncultured-marine-microorganism	NA	NA	Berube
GCA_003281965.1	AG-341-K02	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003279285.1	AG-341-K05	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003281955.1	AG-341-L22	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003279275.1	AG-341-M17	Uncultured-marine-microorganism	NA	NA	Berube
GCA_003281925.1	AG-341-N05	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003279245.1	AG-341-O08	Uncultured-marine-archaeum	NA	NA	Berube
GCA_003281895.1	AG-341-O18	Uncultured-marine-microorganism	NA	NA	Berube
GCA_003279265.1	AG-341-O20	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003279215.1	AG-341-P17	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003281875.1	AG-341-P21	Uncultured-marine-microorganism	NA	NA	Berube
GCA_003281865.1	AG-343-E15	OCS116	c__Alphaproteobacteria	NA	Berube
GCA_003281845.1	AG-345-A04	Uncultured-bacterium	NA	NA	Berube
GCA_003281805.1	AG-345-F03	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003281795.1	AG-345-F21	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003281785.1	AG-345-I14	Uncultured-bacterium	NA	NA	Berube
GCA_003279185.1	AG-345-J02	Uncultured-bacterium	NA	NA	Berube
GCA_003279205.1	AG-345-J16	Uncultured-bacterium	NA	NA	Berube
GCA_003279165.1	AG-345-L07	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003281765.1	AG-345-N06	Uncultured-bacterium	NA	NA	Berube
GCA_003281725.1	AG-345-O09	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003279125.1	AG-347-B08	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281715.1	AG-347-B23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281705.1	AG-347-C10	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279115.1	AG-347-E03	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281685.1	AG-347-E23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279085.1	AG-347-G18	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281645.1	AG-347-G20	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281635.1	AG-347-G22	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281625.1	AG-347-I04	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281605.1	AG-347-I06	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281585.1	AG-347-I15	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279105.1	AG-347-I19	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279055.1	AG-347-I21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281565.1	AG-347-I22	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279045.1	AG-347-I23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281545.1	AG-347-J05	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281525.1	AG-347-J06	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281505.1	AG-347-J14	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279015.1	AG-347-J19	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281485.1	AG-347-J20	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281455.1	AG-347-J21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003279005.1	AG-347-J22	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278965.1	AG-347-J23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281445.1	AG-347-K02	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278955.1	AG-347-K10	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281415.1	AG-347-K15	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281405.1	AG-347-K16	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281385.1	AG-347-K17	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281365.1	AG-347-K18	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281335.1	AG-347-K19	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281315.1	AG-347-K20	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281305.1	AG-347-K21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281285.1	AG-347-K22	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278945.1	AG-347-K23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281255.1	AG-347-L02	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281235.1	AG-347-L13	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278925.1	AG-347-L17	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278895.1	AG-347-L19	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281225.1	AG-347-L20	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278875.1	AG-347-L21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281205.1	AG-347-M08	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281185.1	AG-347-M15	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281165.1	AG-347-M18	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278855.1	AG-347-M23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281145.1	AG-347-N19	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281125.1	AG-347-N23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278845.1	AG-347-O22	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003281095.1	AG-349-C15	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003281085.1	AG-349-E07	OCS155	NA	NA	Berube
GCA_003281065.1	AG-349-E10	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003278815.1	AG-349-I13	SAR86	c__Gammaproteobacteria	NA	Berube
GCA_003278805.1	AG-349-L17	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003281045.1	AG-349-L23	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003281005.1	AG-349-O05	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003278775.1	AG-355-A02	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280995.1	AG-355-A09	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280985.1	AG-355-A18	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280965.1	AG-355-B18	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280935.1	AG-355-B23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278765.1	AG-355-G23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280915.1	AG-355-I04	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280895.1	AG-355-I20	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280885.1	AG-355-J04	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278735.1	AG-355-J09	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280855.1	AG-355-J17	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278725.1	AG-355-J21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278705.1	AG-355-J23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278685.1	AG-355-K03	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278665.1	AG-355-K10	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278635.1	AG-355-K13	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278625.1	AG-355-K15	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280835.1	AG-355-K20	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280815.1	AG-355-K23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280805.1	AG-355-L02	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280775.1	AG-355-L20	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280765.1	AG-355-L21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280735.1	AG-355-L22	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278605.1	AG-355-M02	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280725.1	AG-355-M18	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278585.1	AG-355-N02	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278545.1	AG-355-N16	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278535.1	AG-355-N18	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280695.1	AG-355-N21	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280685.1	AG-355-N22	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280645.1	AG-355-N23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280655.1	AG-355-O17	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280615.1	AG-355-O19	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280605.1	AG-355-O21	SAR116	NA	NA	Berube
GCA_003280575.1	AG-355-P07	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280565.1	AG-355-P11	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280545.1	AG-355-P15	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278525.1	AG-355-P16	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280515.1	AG-355-P18	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278505.1	AG-355-P23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280495.1	AG-359-E06	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003280485.1	AG-359-O02	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003280455.1	AG-359-O04	SAR86	c__Gammaproteobacteria	NA	Berube
GCA_003280445.1	AG-363-A03	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003278455.1	AG-363-A04	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280405.1	AG-363-A05	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280415.1	AG-363-A06	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280375.1	AG-363-A15	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280345.1	AG-363-A16	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003278465.1	AG-363-B04	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003278445.1	AG-363-B05	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003278425.1	AG-363-B11	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280335.1	AG-363-B18	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003280325.1	AG-363-B19	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003278345.1	AG-363-C02	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280295.1	AG-363-C20	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280265.1	AG-363-G03	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003278385.1	AG-363-G23	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003278325.1	AG-363-I04	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280255.1	AG-363-I21	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280245.1	AG-363-J23	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280225.1	AG-363-K07	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280185.1	AG-363-L02	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280165.1	AG-363-L17	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003278375.1	AG-363-L19	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003278365.1	AG-363-M17	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003280175.1	AG-363-M20	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003278305.1	AG-363-M21	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003278285.1	AG-363-N03	Prochlorococcus	c__Cyanobacteriia	LL	Berube
